id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49392,Share my Flat in Providencia,224592,Maria,,Providencia,-33.43266,-70.60072,Private room,45796,3,0,,,1,178,0,
559852,Deluxe 2 Bedrooms Apartment,2752180,Marcos,,Providencia,-33.42649,-70.61571,Entire home/apt,95049,2,12,2019-07-14,0.13,7,362,0,
52811,Suite Providencia 1 Santiago Chile,244792,Cristián,,Providencia,-33.42959,-70.6188,Entire home/apt,46660,1,46,2021-11-04,0.31,3,89,0,
1854958,2do piso casa en Las Condes,9682413,Felipe,,Las Condes,-33.40346,-70.54718,Private room,43204,1,0,,,1,365,0,
53494,depto centro ski el colorado chile,249097,Paulina,,Lo Barnechea,-33.34344,-70.29432,Entire home/apt,149999,2,38,2021-05-22,0.48,1,182,0,
564038,DEPARTAMENTO EN BARRIO BELLAS ARTES,2773531,Betty,,Santiago,-33.43811,-70.64547,Entire home/apt,73447,2,1,2013-11-27,0.01,1,365,0,
65058,Dpto amoblado centro historico,318016,Patricio,,Recoleta,-33.43049,-70.64135,Private room,51845,2,0,,,1,365,0,
566139,"Comodo Departamento, Mejor Sector Providencia",2784499,Betzabe,,Providencia,-33.4262,-70.61853,Entire home/apt,56165,3,212,2022-12-09,1.68,2,321,24,
1864347,"Private room Plaza las Lilas, 2 blocks to metro",9721704,Monica,,Providencia,-33.42853,-70.59434,Private room,22000,3,0,,,1,362,0,
73752,Barrio Lastarria,374124,Daniela&Ricardo,,Santiago,-33.43868,-70.64414,Private room,69127,3,0,,,1,365,0,
1873527,Furnished apartment in Stgo Center,9762063,Arriendo,,Santiago,-33.4528,-70.65521,Entire home/apt,38884,4,5,2018-03-08,0.05,1,364,0,
1886495,Excelente departamento Las Condes,851098,Maria Isabel,,Las Condes,-33.41918,-70.56866,Private room,36756,1,0,,,1,365,0,
583154,Room in downtown close to metro,2872968,Jaime,,Santiago,-33.45592,-70.63256,Private room,43204,1,0,,,1,365,0,
600739,2 Bedrooms Apartments (MH),2752180,Marcos,,Providencia,-33.42492,-70.61605,Entire home/apt,95049,2,22,2018-07-18,0.24,7,303,0,
80482,Room Private for Woman,154527,Jacqueline,,La Florida,-33.51918,-70.59149,Private room,22054,2,0,,,1,363,0,
600741,1 Bedroom Apartments (ML),2752180,Marcos,,Providencia,-33.42462,-70.61619,Entire home/apt,60486,2,9,2017-02-28,0.10,7,208,0,
1892699,Habitación Individual Disponible,9838063,Rossana,,Santiago,-33.43855,-70.64371,Private room,67891,3,0,,,1,365,0,
83677,Loft in Pocuro,456388,Keno,,Providencia,-33.43159,-70.59202,Entire home/apt,125292,1,0,,,1,365,0,
1905521,4 Bed/2 Bath  Parque Arauco Mall,9890877,Fernando,,Vitacura,-33.39871,-70.57523,Entire home/apt,85544,3,184,2022-12-05,1.68,1,320,33,
88944,COZY APT. PROVIDENCIA METRO WIFI TV,485358,Macarena,,Providencia,-33.4222,-70.60846,Entire home/apt,30243,3,178,2022-12-12,1.31,1,302,18,
1906152,Habitación en Acogedor Departamento_Plaza Ñuñoa,1139234,Paula,,Ñuñoa,-33.45728,-70.59157,Private room,17282,1,19,2022-10-02,0.24,1,32,4,
609532,"Cacao Apartament, SANTIAGO",3022172,Andrea,,Santiago,-33.43799,-70.6481,Private room,69127,1,0,,,3,365,0,
90629,Hermoso departamento individual,491051,Marcy-Lú,,Santiago,-33.43787,-70.64082,Entire home/apt,86408,3,0,,,1,365,0,
622498,Amazing !! Apartment Las Condes 01,3085810,Luis Hernan,,Las Condes,-33.41263,-70.58843,Entire home/apt,95049,4,28,2021-03-20,0.22,3,72,0,
643936,"CACAO MINT, SANTIAGO",3022172,Andrea,,Santiago,-33.43721,-70.64889,Private room,69127,3,0,,,3,365,0,
643967,"CACAO CHERRY, SANTIAGO CENTER",3022172,Andrea,,Santiago,-33.43602,-70.64886,Private room,69127,1,0,,,3,365,0,
656930,Spacious shared room Providencia,619256,Rodrigo,,Providencia,-33.41866,-70.61127,Private room,35000,1,9,2022-11-14,0.47,6,365,6,
1914509,HAB.INDEPENDIENTE CON BAÑO Y ESTAR.,9930439,Ana,,Las Condes,-33.4197,-70.55696,Private room,34563,7,0,,,1,365,0,
1932045,Apart-Hotel Latino--hermosos & muy cómodos deptos.,10001202,Marcia,,Providencia,-33.43461,-70.62498,Entire home/apt,37962,1,18,2020-11-08,0.17,1,341,0,
1936528,"Departamento Santiago Centro, a minutos del centro",10019352,Daniel,,Santiago,-33.4467,-70.64625,Entire home/apt,43204,2,0,,,1,365,0,
90694,Apartment x Rent in Providencia 802,491253,Hector,,Providencia,-33.4259,-70.61692,Entire home/apt,43999,3,66,2022-12-10,0.47,1,357,8,
1954924,Cozy furnished Apt. in Providencia,10104469,Paola,,Providencia,-33.42659,-70.61543,Entire home/apt,47524,30,0,,,1,365,0,
668257,"view of the Andes, best located!",2645138,Maria,,Las Condes,-33.41795,-70.58175,Entire home/apt,103690,14,19,2022-05-28,0.16,1,358,1,
94147,"Great house in Santiago, Las Condes",493996,Abraham,,Las Condes,-33.39929,-70.54542,Private room,42340,1,2,2011-12-07,0.01,1,365,0,
679753,Habitación doble con baño privado,619256,Rodrigo,,Providencia,-33.41773,-70.61102,Entire home/apt,45000,1,1,2013-04-09,0.01,6,365,0,
683664,"1 block U.Catolica, subway S.Lucia",3329548,Alojamiento Empresarial Chile,,Santiago,-33.44245,-70.64234,Entire home/apt,50981,90,5,2013-08-14,0.04,4,365,0,
1979814,HABITACIÓN SINGLE EN ITALIA SUITE,7271778,Felipe,,Ñuñoa,-33.44968,-70.62353,Private room,34563,1,5,2019-04-05,0.11,5,365,0,
95139,Room Family Home,506998,Rafael,,Santiago,-33.43665,-70.67835,Private room,61350,7,0,,,1,365,0,
1996807,LINDO DEPARTAMENTO AMOBLADO!,7475173,Leticia,,Santiago,-33.44709,-70.63467,Entire home/apt,55000,5,3,2021-12-26,0.03,2,365,0,
725463,Costanera Center Apartment Santiago,3751231,Hernan,,Providencia,-33.41971,-70.60915,Entire home/apt,60486,2,5,2022-10-09,0.04,3,290,3,
96722,Private bathroom room in Las Condes,513040,Elby,,Las Condes,-33.42532,-70.58566,Private room,51845,1,0,,,1,365,0,
726012,Opera Apartment Santiago Chile,3751231,Hernan,,Santiago,-33.44146,-70.6463,Entire home/apt,69127,2,12,2022-11-06,0.10,3,364,3,
1998362,City View High Rise Condo with Balcony,2136082,Francisca,,Las Condes,-33.413642856896104,-70.59891634476355,Entire home/apt,103690,3,16,2022-12-26,0.15,1,365,6,
100057,DEPARTAMENTO CENTRO DE SANTIAGO,526328,Fernando,,Santiago,-33.43199,-70.65789,Private room,69127,14,2,2012-02-13,0.01,1,365,0,
2030023,Furnished Apartment Barrio Italia,10425066,Josué,,Providencia,-33.44409,-70.6189,Private room,14689,6,5,2017-02-20,0.05,2,177,0,
2040885,Departamento Amoblado,10451907,Isabel,,Santiago,-33.43714,-70.64832,Private room,60486,5,0,,,1,365,0,
106795,departamento santiago centro,552381,Nora,,Santiago,-33.43974,-70.65493,Entire home/apt,69127,1,0,,,1,365,0,
2054452,Depto con estilo en Providencia,10523331,Blanca,,Providencia,-33.42688,-70.60104,Entire home/apt,30243,90,0,,,1,365,0,
2065906,Apto. en pleno corazón de Stgo.,10567910,Guillermo,,Recoleta,-33.43375,-70.63616,Entire home/apt,49253,4,33,2022-11-27,0.32,1,225,6,
734844,beautiful & comfy apartment Stgo,3832872,Claudia,,Santiago,-33.44481,-70.6339,Private room,19010,5,88,2022-11-06,0.74,1,364,5,
748389,Room & Breakfast in Las Condes,3930966,Rodrigo,,Las Condes,-33.42271,-70.57536,Private room,43204,2,0,,,1,365,0,
116494,DEPARTAMENTO SANTIAGO CHILE,588476,Antonio,,Santiago,-33.43855,-70.64486,Private room,51845,1,0,,,1,365,0,
2080451,bedroom´s downtown (cool and quite),1273587,Katina,,Santiago,-33.43949,-70.63913,Private room,31478,3,5,2022-06-30,0.06,1,362,1,
119688,Nice & quiet place in Providencia,603746,Marco,,Providencia,-33.43022,-70.60677,Private room,38884,1,0,,,1,365,0,
2096152,Bellisima habitacion,10693075,Mario Andres,,Las Condes,-33.40707,-70.58549,Shared room,74311,1,0,,,1,365,0,
754744,Apartment downtown Santiago Chile,3968799,Lizandra,,Santiago,-33.44583,-70.65322,Entire home/apt,60486,3,0,,,1,365,0,
122128,habitacion  single de Juan,612580,Juan,,Providencia,-33.43871,-70.60424,Private room,64806,1,0,,,1,365,0,
768868,Opera Santiago Studio,3751231,Hernan,,Santiago,-33.43954,-70.6465,Entire home/apt,43204,2,1,2012-12-19,0.01,3,364,0,
123569,Habitación Single,617378,Carolina,,Santiago,-33.44972,-70.64641,Private room,47524,1,0,,,1,365,0,
124075,Habitación Doble baño compartido,619256,Rodrigo,,Providencia,-33.41905,-70.61165,Private room,34563,2,1,2012-01-19,0.01,6,365,0,
777178,1 block Parque Bustamente&Subway,3761736,Rodrigo,,Providencia,-33.44446,-70.63271,Entire home/apt,25922,5,114,2022-12-23,0.93,2,11,24,
2098590,"TURISMO BELLAVISTA, Best View 4",1463563,Arnaldo,,Santiago,-33.46983,-70.64086,Entire home/apt,69127,2,1,2016-10-17,0.01,6,177,0,
124291,habitacion con baño privado,619919,Livia,,Las Condes,-33.42015,-70.55652,Private room,51845,5,0,,,1,365,0,
2119824,Habitación independiente luminosa,1892348,Cecilia,,Providencia,-33.42963,-70.59133,Private room,16000,1,18,2019-01-27,0.17,2,211,0,
131054,habitación para 1,645012,Norman,,Santiago,-33.44356,-70.63505,Private room,34563,1,0,,,1,365,0,
